nom_producte,tipus_subproducte,preu_producte,url_producte,descripcio_producte
HENRIKSDAL,"
        Funda silla",20€,https://www.ikea.com/es/es/p/henriksdal-funda-silla-dansbo-gris-oscuro-10245610/,
ANGRIM,"
        Silla",59€,https://www.ikea.com/es/es/p/angrim-silla-blanco-con-diseno-s89221017/,
HENRIKSDAL,"
        Funda silla",20€,https://www.ikea.com/es/es/p/henriksdal-funda-silla-nolhaga-beige-grisaceo-40301633/,
SUNDMO,"
        Sillón",129€,https://www.ikea.com/es/es/p/sundmo-sillon-gris-oscuro-50402434/,
EKEDALEN,"
        Silla",50€,https://www.ikea.com/es/es/p/ekedalen-silla-abedul-orrsta-gris-claro-00341023/,"
          Gracias al asiento tapizado y al diseño curvo del respaldo, no querrás levantarte. Elige entre diferentes fundas, mételas en la lavadora cuando haga falta y, si quieres, cómpralas en más de un color para ir variando.
          "
NOLMYRA,"
        Sillón","29,99€",https://www.ikea.com/es/es/p/nolmyra-sillon-chapa-abedul-gris-10233532/,
FJÄLLBERGET,"
        Silla sala de juntas",159€,https://www.ikea.com/es/es/p/fjallberget-silla-sala-juntas-chapa-roble-tinte-blanco-gunnared-beige-beige-claro-80396422/,
VANGSTA / TEODORES,"
        Mesa con 4 sillas,
          ",179€,https://www.ikea.com/es/es/p/vangsta-teodores-mesa-con-4-sillas-blanco-blanco-s59221189/,
ODGER,"
        Silla",69€,https://www.ikea.com/es/es/p/odger-silla-azul-00360002/,"
          Montaje sencillo con un solo clic y sin herramientas. Resulta muy cómoda gracias a la forma redondeada del asiento y el respaldo. Está hecha de madera renovable y plástico reciclado. ¡Una gran adquisición en todos los sentidos!
          "
FINNTORP / DJUPVIK,"
        Sillón con cojines","88,99€",https://www.ikea.com/es/es/p/finntorp-djupvik-sillon-con-cojines-blanco-s89897778/,
LÅNGFJÄLL,"
        Silla de trabajo con reposabrazos",169€,https://www.ikea.com/es/es/p/langfjall-silla-trabajo-con-reposabrazos-gunnared-azul-blanco-s79252858/,"
          Sus suaves líneas curvas subrayadas por detalles cosidos en la tela se adaptan a tu cuerpo y gustan a la vista. Su mecanismo de inclinación y regulación de la altura está diseñado para durar muchos años de subidas y bajadas.
          "
ODGER,"
        Silla",69€,https://www.ikea.com/es/es/p/odger-silla-marron-50364149/,"
          Montaje sencillo con un solo clic y sin herramientas. Resulta muy cómoda gracias a la forma redondeada del asiento y el respaldo. Está hecha de madera renovable y plástico reciclado. ¡Una gran adquisición en todos los sentidos!
          "
MELLTORP / ADDE,"
        Mesa y dos sillas,
          ",50€,https://www.ikea.com/es/es/p/melltorp-adde-mesa-dos-sillas-blanco-s49011766/,"
          Esta mesa se adapta a todo tipo de necesidades y gustos, desde los fans de lo minimalista hasta las familias que necesitan resistencia y durabilidad. Ponla en la cocina o el comedor. Su diseño sencillo combina bien con muchos estilos.
          "
IKEA PS GULLHOLMEN,"
        Mecedora","49,99€",https://www.ikea.com/es/es/p/ikea-ps-gullholmen-mecedora-fibras-platanera-50039552/,
STEFAN,"
        Silla",30€,https://www.ikea.com/es/es/p/stefan-silla-blanco-90339233/,
INGOLF,"
        Silla",50€,https://www.ikea.com/es/es/p/ingolf-silla-tint-envj-00217820/,"
          La serie INGOLF queda igual de bien en la cocina que en el comedor, el dormitorio o el pasillo. Su construcción de madera maciza aguanta bien los golpes.
          "
TERJE,"
        Silla plegable","12,99€",https://www.ikea.com/es/es/p/terje-silla-plegable-rojo-40225677/,"
          Ideal para el rincón del desayuno o para cuando necesites sillas extra. El agujero del respaldo te permite colgarla en la pared y liberar espacio cuando no la uses.
          "
FRANKLIN,"
        Taburete alto plegable,
          ","39,99€",https://www.ikea.com/es/es/p/franklin-taburete-alto-plegable-blanco-blanco-90404879/,
MELLTORP / ADDE,"
        Mesa con 4 sillas,
          ",80€,https://www.ikea.com/es/es/p/melltorp-adde-mesa-con-4-sillas-blanco-negro-s79161486/,"
          Esta mesa se adapta a todo tipo de necesidades y gustos, desde los fans de lo minimalista hasta las familias que necesitan resistencia y durabilidad. Ponla en la cocina o el comedor. Su diseño sencillo combina bien con muchos estilos.
          "
BAKLÄ,"
        Sillón",129€,https://www.ikea.com/es/es/p/bakla-sillon-kimstad-hueso-00317848/,
FRIHETEN,"
        Sillón",129€,https://www.ikea.com/es/es/p/friheten-sillon-skiftebo-gris-30304793/,
FRODE,"
        Silla plegable","29,99€",https://www.ikea.com/es/es/p/frode-silla-plegable-turquesa-40217795/,
STRANDMON,"
        Sillón orejero",249€,https://www.ikea.com/es/es/p/strandmon-sillon-orejero-jarstad-efecto-envejecido-marron-30322339/,
URBAN,"
        Silla alta para niños y niñas","34,99€",https://www.ikea.com/es/es/p/urban-silla-alta-ninos-ninas-blanco-00165213/,"
          Si tu hijo es demasiado mayor para una trona pero pequeño para una silla normal, opta por una silla júnior: suficientemente alta para llegar a la mesa y con sitio para poner los pies. Ideal para disfrutar comiendo y haciendo manualidades.
          "
GUBBO,"
        Sillón",119€,https://www.ikea.com/es/es/p/gubbo-sillon-gris-oscuro-90344970/,
EKEDALEN / EKEDALEN,"
        Mesa y 6 sillas,
          ",499€,https://www.ikea.com/es/es/p/ekedalen-ekedalen-mesa-6-sillas-blanco-orrsta-gris-claro-s19221351/,
SOLSTA OLARP,"
        Sillón",89€,https://www.ikea.com/es/es/p/solsta-olarp-sillon-idhult-negro-00099850/,
FRANKLIN,"
        Taburete alto plegable,
          ","34,99€",https://www.ikea.com/es/es/p/franklin-taburete-alto-plegable-negro-negro-50406465/,
JANINGE,"
        Taburete alto,
          ",100€,https://www.ikea.com/es/es/p/janinge-taburete-alto-blanco-70246089/,"
          Ante el reto de resolver la ecuación de combinar diseño, función y calidad en una silla, nuestros diseñadores crearon JANINGE. Es lo suficientemente duradera como para usarla en un restaurante y tiene un diseño que te quieres llevar a casa.
          "
HENRIKSDAL,"
        Tapicería taburete alto",7€,https://www.ikea.com/es/es/p/henriksdal-tapiceria-taburete-alto-grasbo-blanco-20336619/,
TULLSTA,"
        Sillón",119€,https://www.ikea.com/es/es/p/tullsta-sillon-lofallet-beige-s29272712/,
DALFRED,"
        Taburete alto,
          ","39,99€",https://www.ikea.com/es/es/p/dalfred-taburete-alto-negro-60155602/,
EKEDALEN,"
        Banco,
          ",79€,https://www.ikea.com/es/es/p/ekedalen-banco-blanco-10341032/,"
          El banco es ideal para aprovechar el espacio y ganar en asientos.
          "
NORRARYD,"
        Silla",59€,https://www.ikea.com/es/es/p/norraryd-silla-blanco-70273092/,"
          El diseño se inspira en la tradición escandinava de emplear materiales y estilos sencillos. La suave curva del respaldo te abraza y brinda el apoyo que necesitas. Elige un solo color o combina varios.
          "
MELLTORP / TEODORES,"
        Mesa con 4 sillas,
          ",120€,https://www.ikea.com/es/es/p/melltorp-teodores-mesa-con-4-sillas-blanco-s29221256/,"
          Esta mesa se adapta a todo tipo de necesidades y gustos, desde los fans de lo minimalista hasta las familias que necesitan resistencia y durabilidad. Ponla en la cocina o el comedor. Su diseño sencillo combina bien con muchos estilos.
          "
BLECKBERGET,"
        Silla giratoria","49,99€",https://www.ikea.com/es/es/p/bleckberget-silla-giratoria-idekulla-beige-60308676/,"
          BLECKBERGET se inspira en sillas tradicionales de los años cincuenta y sesenta, pero con un toque moderno para adaptarse al estilo de vida y el mundo laboral de hoy en día. Bonita y cómoda, la puedes usar en cualquier lugar de la casa.
          "
JÄRVSTA,"
        Sillón cama",299€,https://www.ikea.com/es/es/p/jarvsta-sillon-cama-skiftebo-gris-oscuro-20392083/,
TOBIAS,"
        Silla",59€,https://www.ikea.com/es/es/p/tobias-silla-azul-cromado-60334722/,"
          Una silla transparente que se impregna del entorno y los colores de la habitación. Parece que está flotando, y gracias a la flexibilidad del asiento, tú también tendrás la sensación de estar flotando.
          "
NOMINELL,"
        Reposabrazos 2",25€,https://www.ikea.com/es/es/p/nominell-reposabrazos-2-negro-90200269/,
SAKARIAS,"
        Sillón",129€,https://www.ikea.com/es/es/p/sakarias-sillon-negro-sporda-gris-oscuro-s69279028/,
KULLABERG,"
        Silla giratoria","49,99€",https://www.ikea.com/es/es/p/kullaberg-silla-giratoria-negro-90325518/,
HATTEFJÄLL,"
        Silla de trabajo con reposabrazos",229€,https://www.ikea.com/es/es/p/hattefjall-silla-trabajo-con-reposabrazos-gunnared-beige-blanco-s49252119/,"
          Sus suaves líneas curvas subrayadas por detalles cosidos en la tela se adaptan a tu cuerpo y gustan a la vista. Su mecanismo de inclinación y regulación de la altura está diseñado para durar muchos años de subidas y bajadas.
          "
DOCKSTA / TOBIAS,"
        Mesa con 4 sillas,
          ",355€,https://www.ikea.com/es/es/p/docksta-tobias-mesa-con-4-sillas-blanco-transparente-s39197411/,
STIG,"
        Taburete alto,
          ","19,99€",https://www.ikea.com/es/es/p/stig-taburete-alto-negro-gris-plata-80155205/,
IDOLF,"
        Silla",59€,https://www.ikea.com/es/es/p/idolf-silla-negro-80225166/,"
          Lo bueno siempre se puede mejorar, y después de 5 años en el surtido, encontramos la manera de producir la silla IDOLF usando menos madera y haciéndola más ligera pero igual de robusta, cómoda y versátil.
          "
YPPERLIG,"
        Silla con reposabrz int/ext",59€,https://www.ikea.com/es/es/p/ypperlig-silla-con-reposabrz-int-ext-verde-40346580/,"
          Inspirada en las clásicas sillas de madera curvada, típicas de los cafés de Viena del siglo XIX. Hecha de una sola pieza, no requiere tornillos ni montaje. Tiene protección contra los rayos UV, por lo que puede usarse tanto en interiores como exteriores.
          "
